,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH,X,Y,datestring,color,REGION_NR
660,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.225,1.225,Evening,1,1,2015,1,5,31,5,2015-01,136366.37622176015,470751.66957192356,2015-01-31,#fdbf6f,7
664,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15016666666667,103.451,Night,1,1,2015,1,5,31,5,2015-01,11516112.642054943,128044.56770688706,2015-01-31,#fdbf6f,6
662,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.45,1.9,Afternoon,1,1,2015,1,5,31,5,2015-01,211507.03250721976,495870.51551041426,2015-01-31,#fdbf6f,7
665,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15666666666667,103.45333333333299,Night,1,1,2015,1,5,31,5,2015-01,11516372.387533424,128768.29103832252,2015-01-31,#fdbf6f,6
661,2015-01-31,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,3.9166666666666696,98.7666666666667,Unknown,1,0,2015,1,5,31,5,2015-01,10994655.040682323,436341.30243088264,2015-01-31,#1f78b4,6
659,2015-02-01,Americas,Honduras,Armed robbery at sea,Other,0,Off shore,15.9659061111111,-86.03384388888891,Unknown,1,1,2015,2,5,1,6,2015-02,-9577243.692699105,1800774.8394506963,2015-02-01,#fdbf6f,0
658,2015-02-01,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,3.8916666666666697,0.0633333333333333,Morning,1,1,2015,2,5,1,6,2015-02,7050.234416907322,433551.84172094346,2015-02-01,#fdbf6f,7
657,2015-02-01,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,3.77833333333333,-0.3666666666666671,Afternoon,1,1,2015,2,5,1,6,2015-02,-40817.14662420036,420907.31704041985,2015-02-01,#fdbf6f,7
656,2015-02-01,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,5.20083333333333,2.384,Afternoon,1,1,2015,2,5,1,6,2015-02,265385.66605116415,579750.8082820334,2015-02-01,#fdbf6f,7
655,2015-02-01,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,5.13333333333333,2.4,Unknown,1,1,2015,2,5,1,6,2015-02,267166.77790385653,572206.0827337502,2015-02-01,#fdbf6f,7
654,2015-02-01,West Africa,Nigeria,"Failed attack, hijacking",Crude oil tanker,0,Unknown,5.475,5.09233333333333,Evening,1,0,2015,2,5,1,6,2015-02,566875.9536162798,610403.8631428857,2015-02-01,#1f78b4,7
653,2015-02-02,West Africa,Nigeria,Kidnap/ransom at sea,Unknown vessel type,0,Off shore,4.861055277777782,6.162323055555558,Unknown,1,1,2015,2,6,2,0,2015-02,685986.6646480943,541780.550760532,2015-02-02,#fdbf6f,7
652,2015-02-02,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,6.07626055555555,3.3638763888888903,Unknown,1,1,2015,2,6,2,0,2015-02,374465.0067026272,677677.7042633344,2015-02-02,#fdbf6f,7
651,2015-02-02,Americas,Brazil,"Failed attack, robbery",Other,0,Anchorage,-2.2817122222222204,-37.5219091666667,Night,1,0,2015,2,6,2,0,2015-02,-4176919.8220248013,-254066.20562916656,2015-02-02,#1f78b4,0
650,2015-02-02,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,3.2666666666666697,-0.3666666666666671,Morning,1,1,2015,2,6,2,0,2015-02,-40817.14662420036,363840.8405795664,2015-02-02,#fdbf6f,7
649,2015-02-02,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,4.26666666666667,3.8333333333333295,Unknown,1,1,2015,2,6,2,0,2015-02,426724.71470754826,475402.7463379532,2015-02-02,#fdbf6f,7
645,2015-02-03,West Africa,Nigeria,Kidnap/ransom at sea,Crude oil tanker,0,Off shore,4.205,8.07333333333333,Evening,1,1,2015,2,6,3,1,2015-02,898719.3556710283,468519.24162830855,2015-02-03,#fdbf6f,7
647,2015-02-03,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,5.05,5.25,Night,1,1,2015,2,6,3,1,2015-02,584427.3266646863,562892.7069406968,2015-02-03,#fdbf6f,7
646,2015-02-03,West Africa,Cote D'Ivoire,Hijacking at sea,Unknown vessel type,0,Off shore,3.25,-3.38333333333333,Morning,1,1,2015,2,6,3,1,2015-02,-376630.94385057525,361982.5115784614,2015-02-03,#fdbf6f,7
648,2015-02-03,South East Asia,Papua New Guinea,Armed robbery at sea,Other,0,Off shore,-9.647916388888893,150.456138611111,Afternoon,1,1,2015,2,6,3,1,2015-02,16748700.736911062,-1079112.8752294015,2015-02-03,#fdbf6f,6
642,2015-02-04,West Africa,Liberia,Hijacking at sea,Unknown vessel type,0,Off shore,3.5,-7.7,Evening,1,1,2015,2,6,4,2,2015-02,-857160.0791082064,389860.7582541955,2015-02-04,#fdbf6f,7
643,2015-02-04,West Africa,Cote D'Ivoire,Hijacking at sea,Unknown vessel type,0,Off shore,3.2,-6.93333333333333,Morning,1,1,2015,2,6,4,2,2015-02,-771815.1361666964,356407.7081140086,2015-02-04,#fdbf6f,7
641,2015-02-05,West Africa,Nigeria,"Failed attack, robbery",Chemical tanker,0,Off shore,6.4405,3.4223333333333303,Night,1,0,2015,2,6,5,3,2015-02,380972.4039915129,718467.8162394355,2015-02-05,#1f78b4,7
644,2015-02-05,South East Asia,Vietnam,Theft at anchorage,Container ship,0,Anchorage,10.2,107.05,Morning,1,1,2015,2,6,5,3,2015-02,11916751.489419935,1141504.3357174317,2015-02-05,#fdbf6f,6
640,2015-02-06,North Africa,Libya,Counter insurgency/military operation,Unknown vessel type,0,Unknown,32.107815,20.0500488888889,Unknown,1,1,2015,2,6,6,4,2015-02,2231961.2326913527,3777471.356597839,2015-02-06,#fdbf6f,3
639,2015-02-09,West Africa,Sierra Leone,Hijacking at sea,Unknown vessel type,0,Off shore,8.30833333333333,-14.08,Morning,1,1,2015,2,7,9,0,2015-02,-1567378.430369292,928137.8587022022,2015-02-09,#fdbf6f,7
638,2015-02-09,West Africa,Benin,Hijacking at sea,Unknown vessel type,0,Off shore,6.14166666666667,2.5566666666666698,Afternoon,1,1,2015,2,7,9,0,2015-02,284606.8314614698,685000.2622060187,2015-02-09,#fdbf6f,7
636,2015-02-10,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,6.26666666666667,2.96666666666667,Morning,1,1,2015,2,7,10,1,2015-02,330247.82268671197,698997.1798230838,2015-02-10,#fdbf6f,7
635,2015-02-10,South East Asia,Vietnam,Theft at berth,Container ship,0,Berth,20.830566111111104,106.796470555556,Evening,1,1,2015,2,7,10,1,2015-02,11888528.72076333,2371686.835845609,2015-02-10,#fdbf6f,6
637,2015-02-10,West Africa,Guinea,Hijacking at sea,Unknown vessel type,0,Off shore,9.43333333333333,-16.9166666666667,Morning,1,1,2015,2,7,10,1,2015-02,-1883154.7192528816,1054890.5487441048,2015-02-10,#fdbf6f,7
634,2015-02-11,West Africa,Guinea-Bissau,Hijacking at sea,Unknown vessel type,0,Unknown,11.183333333333302,-16.7,Night,1,1,2015,2,7,11,2,2015-02,-1859035.4962476683,1252903.860012207,2015-02-11,#fdbf6f,7
633,2015-02-11,West Africa,Guinea-Bissau,Hijacking at sea,Unknown vessel type,0,Off shore,12.583333333333302,-16.1666666666667,Afternoon,1,1,2015,2,7,11,2,2015-02,-1799665.1011579265,1412168.5817101938,2015-02-11,#fdbf6f,7
632,2015-02-12,West Africa,Cameroon,Kidnap/ransom at sea,Unknown vessel type,0,Off shore,4.687845555555559,8.633376944444441,Unknown,1,1,2015,2,7,12,3,2015-02,961063.1252819434,522431.78646037076,2015-02-12,#fdbf6f,7
631,2015-02-12,West Africa,Senegal,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,12.583333333333302,-16.1666666666667,Unknown,1,0,2015,2,7,12,3,2015-02,-1799665.1011579265,1412168.5817101938,2015-02-12,#1f78b4,7
629,2015-02-12,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.2833333333333306,4.41666666666667,Morning,1,1,2015,2,7,12,3,2015-02,491661.08433695865,588973.2393343172,2015-02-12,#fdbf6f,7
