,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
48,2015-02-01,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,5.13333333333333,2.4,Unknown,1,1,2015,2,5,1,6,2015-02
49,2015-02-01,West Africa,Nigeria,"Failed attack, hijacking",Crude oil tanker,0,Unknown,5.475,5.09233333333333,Evening,1,0,2015,2,5,1,6,2015-02
50,2015-02-02,West Africa,Nigeria,Kidnap/ransom at sea,Unknown vessel type,0,Off shore,4.861055277777781,6.162323055555559,Unknown,1,1,2015,2,6,2,0,2015-02
51,2015-02-02,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,6.07626055555555,3.3638763888888903,Unknown,1,1,2015,2,6,2,0,2015-02
52,2015-02-02,Americas,Brazil,"Failed attack, robbery",Other,0,Anchorage,-2.2817122222222204,-37.5219091666667,Night,1,0,2015,2,6,2,0,2015-02
53,2015-02-02,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,3.2666666666666697,-0.3666666666666671,Morning,1,1,2015,2,6,2,0,2015-02
54,2015-02-02,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,4.26666666666667,3.8333333333333304,Unknown,1,1,2015,2,6,2,0,2015-02
55,2015-02-03,West Africa,Nigeria,Kidnap/ransom at sea,Crude oil tanker,0,Off shore,4.205,8.07333333333333,Evening,1,1,2015,2,6,3,1,2015-02
56,2015-02-03,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,5.05,5.25,Night,1,1,2015,2,6,3,1,2015-02
57,2015-02-03,West Africa,Cote D'Ivoire,Hijacking at sea,Unknown vessel type,0,Off shore,3.25,-3.38333333333333,Morning,1,1,2015,2,6,3,1,2015-02
58,2015-02-03,South East Asia,Papua New Guinea,Armed robbery at sea,Other,0,Off shore,-9.647916388888891,150.456138611111,Afternoon,1,1,2015,2,6,3,1,2015-02
59,2015-02-04,West Africa,Liberia,Hijacking at sea,Unknown vessel type,0,Off shore,3.5,-7.7,Evening,1,1,2015,2,6,4,2,2015-02
60,2015-02-04,West Africa,Cote D'Ivoire,Hijacking at sea,Unknown vessel type,0,Off shore,3.2,-6.93333333333333,Morning,1,1,2015,2,6,4,2,2015-02
61,2015-02-05,West Africa,Nigeria,"Failed attack, robbery",Chemical tanker,0,Off shore,6.4405,3.4223333333333303,Night,1,0,2015,2,6,5,3,2015-02
62,2015-02-05,South East Asia,Vietnam,Theft at anchorage,Container ship,0,Anchorage,10.2,107.05,Morning,1,1,2015,2,6,5,3,2015-02
